Daily_Screen_Time_Hours,Social_Media_Hours,Gaming_Hours,Productivity_Hours,Number_of_App_Opens,Notifications_Received,Night_Usage_Times,Age,Number_of_Apps_Installed,Weekly_Avg_Usage_Hours,Addiction_Level
14.3,0.9,0.7,0.5,168,214,11,29,23,90.7,High
14.3,2.2,2.4,0.1,18,288,9,21,25,52.1,High
8.8,0.5,0.1,1.4,82,263,10,39,95,16.2,Medium
9.7,4.2,2.5,3.1,39,139,1,22,87,92.3,Medium
7.0,7.5,4.8,2.3,34,93,4,44,28,76.0,Medium
4.8,0.3,1.9,1.3,96,285,6,12,30,73.4,Medium
5.3,1.0,0.2,2.6,21,196,5,24,49,71.2,Low
10.3,3.6,0.2,0.9,199,55,2,48,32,20.8,Medium
11.4,7.5,1.9,0.1,162,192,12,31,86,21.9,High
12.0,2.5,0.8,3.1,97,277,2,12,33,69.1,Medium
11.9,4.1,0.1,2.5,177,109,5,63,21,22.8,Medium
1.8,0.3,3.8,3.0,83,87,10,14,72,44.4,Low
7.7,1.2,2.3,0.2,114,281,16,29,48,78.4,Medium
1.3,7.9,1.4,3.3,183,171,9,52,65,78.6,Medium
8.5,7.7,4.5,2.5,106,53,11,25,97,45.9,Medium
6.9,0.0,0.6,2.3,110,247,16,42,72,79.4,Medium
13.4,7.6,4.8,2.5,51,143,3,38,78,84.0,Medium
5.6,5.1,1.6,3.5,185,201,1,28,29,65.8,Medium
2.2,6.9,4.4,2.3,68,287,10,57,99,23.6,Medium
2.6,3.6,3.0,2.3,170,27,6,40,71,28.1,Low
11.5,4.1,4.1,4.0,68,21,1,47,6,32.2,Medium
9.5,3.9,4.9,3.0,91,189,17,48,93,12.6,Medium
2.0,5.3,1.4,1.8,11,132,3,37,53,28.0,Low
1.7,1.1,4.8,2.8,26,255,7,64,74,21.7,Low
10.7,0.2,1.9,1.6,85,231,19,28,30,46.1,High
1.6,2.5,1.9,0.9,173,60,13,33,76,90.9,Medium
12.4,5.6,1.7,2.4,78,80,11,36,31,11.3,Medium
10.7,1.6,2.7,3.7,142,57,17,13,93,72.3,Medium
1.7,5.4,0.8,3.7,189,28,10,33,22,69.0,Low
1.7,7.8,2.8,1.4,139,271,7,16,58,10.5,Medium
14.8,0.8,2.7,2.1,129,93,1,15,5,92.3,Medium
5.9,5.4,3.8,0.8,54,164,14,47,65,57.3,Medium
5.9,3.6,4.2,4.0,56,62,8,17,7,37.0,Medium
12.3,6.9,2.2,3.9,165,116,18,63,72,75.9,High
14.2,1.4,1.5,2.6,5,144,19,32,45,26.5,Medium
14.8,5.5,1.3,3.2,185,78,7,24,41,69.7,High
11.4,6.7,1.0,2.9,192,20,18,48,55,4.9,High
6.0,7.6,0.3,2.4,166,152,4,36,19,84.1,Medium
1.7,5.5,1.7,0.2,8,201,10,37,12,45.4,Medium
11.8,4.0,1.4,1.8,149,78,14,50,42,64.0,Medium
8.6,4.9,4.8,2.7,136,32,7,31,87,22.9,Medium
6.7,7.0,2.8,2.7,175,190,18,44,60,68.0,High
13.6,4.6,1.7,1.5,8,18,7,25,51,77.5,Medium
2.1,0.2,2.9,3.8,5,280,18,47,94,47.8,Low
7.6,7.4,0.7,0.7,75,102,17,28,14,62.2,Medium
0.7,5.5,2.2,2.0,182,26,9,32,82,46.2,Medium
7.3,5.4,3.1,2.8,193,163,6,57,53,89.5,Medium
1.3,1.7,2.4,2.8,39,158,8,27,45,50.3,Low
2.2,5.3,2.0,2.6,12,276,0,57,87,84.3,Low
2.2,3.2,5.0,1.1,156,115,18,27,34,80.3,Medium
9.9,5.2,4.4,0.6,40,44,4,31,9,41.6,Medium
11.3,0.9,3.1,2.5,182,128,18,40,99,23.8,High
9.0,5.3,2.8,2.4,127,23,0,39,75,41.2,Medium
14.5,8.0,3.1,0.7,47,23,14,19,87,82.8,High
5.9,0.4,1.0,2.8,31,275,15,35,35,23.5,Medium
4.6,7.8,2.0,1.8,36,149,6,14,56,52.9,Medium
13.1,3.3,0.2,2.7,82,128,11,36,92,80.8,Medium
3.7,7.0,2.4,3.3,125,247,7,30,27,36.0,Medium
14.5,6.3,2.7,0.7,150,43,4,44,52,64.6,High
0.7,4.5,1.1,0.1,160,178,9,13,44,25.3,Medium
14.6,5.9,4.8,3.1,161,19,4,26,10,11.8,High
1.1,7.0,4.5,2.4,20,131,16,33,42,79.6,Medium
13.4,3.2,3.6,2.8,103,154,4,21,45,10.8,Medium
8.2,2.6,2.7,3.4,51,232,14,29,31,27.9,Medium
14.9,5.3,4.3,3.2,191,266,12,33,79,85.7,High
1.6,6.5,0.7,3.8,35,277,0,57,73,35.3,Low
8.5,6.1,4.0,2.1,8,13,10,60,61,97.3,Medium
14.6,6.4,0.6,2.0,169,115,0,38,21,98.0,Medium
8.1,3.5,4.0,1.6,21,94,10,24,75,27.6,Medium
9.6,6.5,1.4,0.6,43,223,17,44,95,5.1,High
10.6,1.0,4.4,2.3,52,130,17,16,51,70.8,Medium
7.1,4.4,4.7,1.1,178,141,15,37,83,45.6,High
9.6,0.0,0.7,3.7,180,206,12,24,17,11.0,Medium
9.0,2.6,2.3,2.3,43,28,6,38,15,71.0,Low
13.6,2.9,4.9,2.4,136,139,0,25,94,4.1,Medium
1.2,3.2,2.4,1.4,34,21,15,35,90,87.1,Low
4.6,5.6,4.3,0.2,162,90,0,14,96,14.7,Medium
14.3,3.1,2.9,0.1,26,271,16,58,28,13.6,High
13.4,3.6,1.9,1.7,70,134,5,62,97,18.4,Medium
7.1,1.9,1.4,0.3,112,276,1,60,77,96.1,Medium
9.5,3.0,1.0,2.4,16,149,16,41,8,69.6,Medium
4.5,1.8,3.8,3.5,40,11,5,46,50,80.3,Low
3.2,0.6,1.9,3.5,22,17,13,59,22,40.4,Low
7.2,4.8,2.6,2.6,94,259,17,25,47,34.3,Medium
5.6,5.3,2.5,0.8,185,148,5,23,84,24.2,Medium
9.0,5.0,2.9,3.5,5,133,9,39,37,48.6,Medium
1.6,3.7,4.3,3.5,131,237,17,55,97,55.6,Medium
14.6,3.0,4.9,0.8,190,19,8,40,14,63.5,High
14.8,6.9,2.0,2.9,94,221,7,54,77,26.5,High
10.6,4.2,4.1,1.1,91,121,9,28,63,94.9,Medium
8.3,3.8,3.8,3.2,94,17,16,51,35,17.8,Medium
5.0,0.2,2.9,4.0,138,262,5,60,32,96.6,Low
12.3,2.7,4.8,0.1,74,23,13,32,64,2.5,Medium
10.4,3.0,1.0,3.6,48,249,5,34,7,48.6,Medium
2.9,3.2,0.5,2.5,156,251,6,31,59,34.0,Medium
13.7,4.6,4.3,3.9,90,158,11,22,18,45.5,High
12.4,4.3,2.2,1.9,23,245,2,45,62,57.5,Medium
14.3,4.9,4.2,3.4,105,176,13,21,93,44.1,High
11.0,6.1,4.5,0.2,150,29,18,21,19,42.1,High
9.4,6.5,0.3,1.3,99,225,15,54,6,73.5,Medium
6.6,5.7,4.4,0.3,105,144,6,17,28,68.9,Medium
14.0,7.6,2.2,3.9,34,138,7,47,82,83.5,Medium
13.1,0.1,2.6,3.3,174,255,17,35,68,25.7,High
1.2,1.6,3.1,3.4,37,198,12,23,75,61.3,Low
0.9,0.1,4.6,3.8,16,53,8,54,28,58.9,Low
6.0,5.2,0.1,0.3,122,95,9,34,31,37.6,Medium
12.3,7.2,2.4,1.5,98,53,8,38,41,49.1,Medium
14.8,1.9,3.4,0.3,159,154,14,56,98,32.1,High
2.7,7.4,3.6,0.8,171,60,19,48,95,15.0,Medium
9.1,0.5,3.5,0.9,141,251,1,17,43,22.2,Medium
6.0,7.5,0.7,1.9,153,60,12,12,67,11.4,Medium
14.6,2.8,1.5,1.1,80,275,1,17,83,68.6,Medium
12.7,0.8,1.8,0.4,33,129,18,61,30,66.4,Medium
12.7,3.9,4.0,0.7,165,209,1,33,69,95.1,High
7.3,2.1,1.4,0.6,194,257,2,52,8,73.2,Medium
6.5,2.3,1.1,3.9,121,79,5,35,33,6.2,Low
4.5,2.5,4.8,3.0,19,66,2,36,5,88.5,Low
1.3,6.4,0.0,3.9,6,48,9,26,54,86.4,Low
13.0,4.3,5.0,1.8,184,298,5,37,90,44.9,High
12.3,2.5,3.4,1.1,121,27,15,19,15,59.0,High
15.0,4.9,4.1,3.2,176,229,16,62,78,97.6,High
15.0,5.7,1.5,1.3,186,253,18,35,63,53.7,High
8.6,2.2,0.1,1.2,22,292,2,59,66,90.6,Low
11.7,3.3,3.7,0.9,7,83,17,49,85,9.2,Medium
14.2,1.0,4.2,0.5,139,119,6,17,40,19.9,High
12.8,1.4,3.7,1.0,175,189,8,46,60,44.6,Medium
4.1,5.4,0.7,1.4,170,41,19,53,94,58.9,Medium
7.0,1.5,3.8,2.7,169,243,11,12,25,81.8,Medium
2.4,4.2,3.8,0.3,190,291,4,57,17,98.8,Medium
14.3,5.7,3.3,0.8,165,34,2,47,13,39.5,Medium
9.3,0.9,3.8,3.2,112,288,10,23,15,5.7,Medium
3.8,4.5,4.2,0.6,191,235,3,49,79,80.3,Medium
10.2,2.1,3.1,1.4,99,66,4,22,74,60.8,Medium
9.5,7.7,0.4,3.5,126,189,0,23,5,20.7,Medium
5.7,3.9,2.4,0.6,15,241,17,53,74,50.0,Medium
2.1,6.4,0.4,0.3,72,296,11,61,81,74.5,Medium
10.2,4.4,2.0,1.9,127,73,12,50,90,77.3,Medium
8.0,0.3,2.0,1.2,117,241,8,18,60,50.5,Medium
11.7,5.1,0.3,2.3,102,298,1,22,35,31.2,Medium
8.0,7.6,1.7,3.2,97,222,4,47,90,97.4,Medium
12.9,4.8,0.6,0.5,26,267,12,63,41,66.7,Medium
8.5,6.6,4.0,2.3,198,27,15,42,51,41.4,High
8.6,7.1,4.7,2.0,176,184,15,44,95,28.8,High
13.2,1.8,0.4,0.6,131,238,2,24,82,73.4,Medium
6.4,1.7,4.8,2.5,138,235,3,29,51,25.0,Medium
2.4,4.9,2.6,1.1,174,93,10,52,73,18.0,Medium
0.9,3.3,1.5,2.0,29,255,13,35,62,53.5,Low
11.4,6.7,0.4,0.3,189,119,2,20,40,29.7,High
9.5,7.2,2.5,1.8,89,263,15,42,36,63.3,High
10.7,2.8,4.0,1.2,59,97,14,52,68,12.7,Medium
3.6,1.9,3.5,3.3,148,81,9,21,75,65.8,Medium
2.5,6.2,0.3,0.2,99,39,8,13,46,29.0,Medium
0.7,2.2,0.4,1.7,146,181,10,49,52,1.0,Low
5.6,6.6,2.0,1.8,171,186,15,26,78,13.6,High
9.1,3.4,1.5,2.9,160,148,9,14,85,93.4,Medium
6.2,5.3,1.2,2.3,183,203,16,54,34,86.9,Medium
6.8,0.8,1.4,2.7,123,195,18,42,25,24.1,Medium
13.6,5.0,4.0,3.1,181,227,1,17,64,78.1,High
5.5,3.6,4.6,3.4,13,173,1,14,17,61.2,Low
8.0,4.7,2.0,1.3,190,170,5,22,5,97.1,Medium
11.9,1.3,4.5,2.2,177,22,18,26,69,38.0,High
6.2,5.9,1.6,3.4,154,98,7,56,37,68.5,Medium
9.5,6.9,2.4,4.0,164,51,2,63,42,7.3,Medium
13.0,1.7,1.1,3.6,46,219,13,39,29,40.2,Medium
14.3,0.8,3.2,1.5,57,238,15,21,30,96.4,High
2.6,0.2,4.9,0.8,191,284,0,49,81,54.4,Low
13.9,5.1,3.0,2.0,78,288,2,58,63,29.5,Medium
7.6,4.9,1.8,3.0,43,260,17,61,96,12.9,Medium
4.2,4.4,3.2,2.0,126,217,8,61,37,70.6,Medium
7.2,1.9,0.6,1.9,19,149,5,18,45,64.8,Low
14.7,3.1,4.4,3.4,161,289,0,26,34,38.0,High
7.6,4.8,2.5,1.4,127,43,9,29,61,95.1,Medium
5.3,4.0,2.2,3.4,115,27,5,29,53,3.2,Low
9.7,7.9,2.9,1.6,135,66,11,63,52,31.1,Medium
4.0,1.1,3.1,1.3,87,121,3,52,76,92.2,Low
1.6,5.6,0.4,1.8,14,14,12,35,53,32.8,Low
2.4,3.2,3.4,3.0,96,191,16,13,51,26.0,Medium
2.4,3.4,1.2,0.5,33,22,7,51,60,53.9,Low
2.7,5.7,3.6,0.8,39,294,19,31,69,82.6,Medium
2.5,5.5,4.1,3.8,10,268,2,45,16,11.2,Low
9.8,7.9,4.0,0.7,144,99,11,54,73,94.4,High
3.1,1.0,2.8,2.3,115,113,6,37,92,79.7,Low
5.5,0.8,2.6,2.3,42,195,11,18,10,18.9,Medium
13.5,5.8,0.7,2.0,81,259,1,49,93,71.5,Medium
7.4,4.6,3.9,2.6,97,264,13,41,69,39.1,Medium
10.2,2.2,1.4,0.9,151,85,4,53,29,40.8,Medium
3.0,0.6,2.5,2.2,71,117,8,16,5,78.5,Low
3.3,0.7,1.4,1.5,140,165,10,22,36,96.3,Medium
1.1,7.2,0.7,2.6,12,91,4,12,7,13.5,Low
2.9,1.5,3.1,0.6,126,86,2,45,53,42.6,Low
4.5,2.6,0.3,2.3,88,267,16,12,23,48.6,Medium
3.1,1.8,3.7,0.7,179,136,1,30,64,38.3,Medium
1.8,2.8,1.6,1.1,136,291,0,13,33,37.0,Medium
2.2,0.6,0.0,0.9,183,97,6,32,54,6.2,Low
7.2,4.2,2.6,0.7,89,213,13,31,6,68.9,Medium
3.5,0.5,0.2,3.3,199,25,4,34,77,44.2,Low
5.8,6.4,1.4,1.1,49,160,18,32,60,20.3,Medium
7.8,1.9,3.5,3.7,140,263,10,35,21,81.8,Medium
10.5,4.3,0.3,3.9,91,197,1,15,64,80.5,Medium
1.1,7.0,4.2,2.3,20,41,7,23,40,49.2,Low
12.1,5.2,0.0,0.6,81,280,8,33,65,30.5,High
9.6,4.3,1.2,1.5,199,14,2,31,21,64.2,Medium
1.7,2.6,3.7,3.2,13,178,1,29,53,29.5,Low
13.2,2.7,1.6,1.5,64,190,6,12,80,24.4,Medium
13.9,5.4,0.5,0.3,82,187,4,41,64,73.3,Medium
1.4,8.0,1.8,2.2,81,152,4,44,24,5.0,Low
4.5,5.3,1.4,3.4,75,257,19,35,54,10.4,Medium
12.2,4.5,4.2,3.2,19,136,12,25,7,1.7,Medium
11.3,5.8,1.6,0.7,75,272,19,47,47,16.1,High
3.2,3.7,3.9,2.7,106,49,5,16,61,7.8,Low
3.5,0.5,4.5,0.9,173,264,19,22,54,99.6,Medium
5.9,4.5,2.2,0.9,26,152,17,35,72,29.6,Medium
7.5,7.7,4.5,3.5,156,249,1,42,85,15.8,Medium
9.5,1.4,1.9,1.0,117,237,5,24,54,24.9,Medium
5.8,5.5,4.8,1.1,176,207,8,27,41,93.7,Medium
7.2,1.6,0.4,0.0,5,74,2,35,50,52.5,Low
11.3,4.3,3.4,3.5,14,20,0,24,46,37.1,Low
1.0,0.8,2.5,3.2,114,117,0,35,19,87.5,Low
4.2,3.6,1.9,2.5,188,35,18,37,37,40.1,Medium
10.8,6.0,3.2,3.0,117,160,4,13,84,34.2,Medium
13.5,2.8,3.5,0.6,54,230,12,27,15,21.5,High
7.9,5.3,0.0,1.8,16,246,18,49,24,38.4,Medium
8.2,6.4,0.8,1.4,93,246,11,57,28,32.4,Medium
2.1,7.4,3.6,0.4,192,228,15,12,68,68.1,High
7.0,1.9,3.3,1.9,158,160,18,60,84,29.7,Medium
8.2,3.2,4.8,3.7,116,132,2,22,98,58.1,Medium
4.0,1.2,3.8,0.2,82,153,11,62,69,7.5,Low
4.4,7.9,4.8,1.2,173,198,4,46,92,19.9,Medium
6.0,7.4,3.5,0.8,168,264,1,54,92,41.3,Medium
0.8,4.3,1.5,1.0,125,77,6,40,77,93.8,Low
5.2,6.7,0.5,3.6,27,113,12,48,90,38.3,Low
3.6,4.2,3.9,1.9,175,168,14,28,80,66.7,Medium
5.2,5.0,3.2,1.9,138,99,2,50,21,26.3,Low
2.2,0.7,0.2,3.0,175,265,19,53,93,13.6,Medium
13.4,6.0,1.8,0.6,29,229,4,39,96,6.8,Medium
9.1,1.0,4.8,1.9,22,18,7,40,65,31.2,Low
10.3,6.6,2.5,1.7,194,21,0,54,19,16.6,Medium
11.9,6.3,2.2,2.4,145,253,7,14,98,18.2,High
7.7,5.7,2.3,4.0,47,191,17,63,55,76.3,Medium
1.8,0.3,1.0,3.1,82,293,19,21,31,2.6,Medium
8.3,2.4,1.8,1.6,32,108,15,53,90,56.2,Medium
9.0,2.1,1.8,3.3,150,206,17,25,78,38.6,Medium
11.3,2.9,0.3,0.7,63,235,19,23,65,51.1,High
6.8,0.7,3.8,0.1,192,112,11,58,62,56.7,Medium
2.3,7.5,2.1,0.8,67,115,12,53,35,32.0,Medium
4.6,4.4,4.1,1.4,189,67,12,41,95,30.2,Medium
5.8,2.4,4.3,2.0,96,87,9,43,16,73.6,Medium
9.9,3.2,1.1,2.5,183,84,6,43,50,87.3,Medium
8.8,3.6,3.3,3.6,60,51,13,53,35,20.1,Medium
5.7,4.8,2.4,2.0,159,190,15,43,36,10.7,Medium
14.8,4.1,4.4,2.0,164,42,14,37,36,89.9,High
9.3,7.4,1.1,0.2,115,80,11,62,57,35.6,Medium
3.9,4.0,3.4,0.1,141,65,8,12,65,55.6,Medium
2.0,7.9,3.0,2.2,72,114,7,53,50,36.6,Low
2.7,6.8,1.5,1.8,50,209,17,13,89,13.5,Medium
4.1,1.7,0.7,3.4,71,110,17,28,78,59.3,Medium
2.8,7.4,3.3,0.6,158,265,12,41,84,53.0,Medium
3.2,0.9,3.7,0.1,140,83,17,50,11,21.1,Medium
4.6,6.5,1.6,1.8,10,180,14,18,8,45.7,Medium
3.0,3.0,3.2,0.9,28,152,3,63,95,79.9,Low
13.5,7.0,2.0,0.2,180,175,16,38,56,59.5,High
1.7,6.9,3.6,2.9,98,270,4,20,93,10.6,Medium
8.1,6.4,1.0,0.4,177,230,15,33,35,55.3,High
6.5,6.3,4.5,2.4,17,92,8,45,79,70.6,Medium
14.7,2.4,1.4,1.1,29,191,9,57,88,79.5,Medium
2.1,0.6,1.8,0.7,152,19,17,60,40,63.3,Low
6.3,3.2,0.3,1.5,122,13,16,12,58,16.1,Medium
14.6,1.4,0.6,3.2,86,290,17,20,58,71.3,High
13.0,5.6,2.6,1.6,115,224,6,31,21,68.1,High
12.3,2.8,1.3,3.0,86,107,3,64,79,3.4,Medium
4.2,7.8,4.2,0.5,70,110,4,30,34,41.8,Medium
3.0,5.1,0.1,3.1,49,18,15,47,26,34.0,Low
10.2,6.6,1.9,0.9,118,70,2,51,47,67.3,Medium
14.0,1.1,1.7,2.7,179,155,17,56,31,22.4,High
8.6,6.9,0.1,2.3,67,72,13,15,41,59.5,Medium
8.8,7.4,0.6,3.7,80,130,14,20,50,91.4,Medium
4.6,3.9,2.1,1.5,118,235,16,52,39,80.0,Medium
11.7,4.9,2.5,0.3,115,114,0,33,8,92.2,Medium
3.2,6.1,2.0,0.1,187,269,16,29,84,97.9,High
5.2,1.4,2.7,3.3,151,264,10,23,84,2.1,Medium
6.7,4.0,3.0,2.1,39,216,16,53,89,62.7,Medium
7.9,3.2,0.0,3.1,57,37,13,54,30,41.9,Low
4.0,1.2,2.3,0.9,30,179,19,50,23,86.1,Medium
2.2,2.9,4.8,1.4,18,85,18,20,85,25.9,Medium
9.4,0.5,2.6,0.1,122,125,6,17,49,98.1,Medium
4.7,0.2,3.4,3.8,49,78,12,30,30,61.8,Low
8.9,1.1,1.6,2.7,176,243,17,59,26,79.6,Medium
2.7,7.7,3.9,3.7,197,10,13,58,62,9.5,Medium
7.5,4.4,3.9,1.1,55,176,0,18,67,19.2,Medium
8.2,7.7,2.6,2.4,175,227,6,27,32,76.1,High
1.3,3.5,4.9,2.7,123,282,7,16,69,3.2,Medium
5.4,2.5,0.6,1.3,155,260,17,27,48,81.9,Medium
2.4,4.0,0.1,3.4,188,183,8,12,47,2.4,Medium
1.4,3.5,3.9,3.8,23,179,0,62,41,66.1,Low
14.9,0.8,4.0,3.5,86,255,16,48,70,37.1,High
5.2,5.1,0.6,3.0,80,99,18,50,21,61.5,Medium
12.2,1.7,1.3,1.1,187,58,5,30,44,69.9,Medium
4.2,5.0,0.1,1.1,96,159,2,48,42,34.9,Low
10.4,5.2,1.5,3.9,192,141,4,28,89,11.7,Medium
11.5,1.2,3.9,0.0,191,68,1,37,65,7.9,Medium
9.1,0.5,2.6,2.9,37,208,19,33,13,59.3,Medium
7.3,6.2,1.7,2.8,151,224,3,19,81,52.5,Medium
6.5,3.7,1.9,2.5,32,58,9,44,79,74.5,Low
5.6,0.5,0.0,4.0,127,241,9,13,65,51.5,Medium
14.0,8.0,1.5,1.2,184,256,10,41,84,42.8,High
12.5,0.5,3.2,1.4,130,248,15,58,20,40.4,Medium
14.5,5.6,4.9,0.3,181,177,16,31,6,3.6,High
2.3,7.9,4.2,1.8,41,57,15,29,76,34.2,Medium
11.1,1.9,0.1,1.0,158,60,6,54,47,97.6,Medium
14.1,1.1,4.5,1.4,103,107,15,21,46,87.5,High
3.1,1.0,3.9,3.3,102,225,2,35,81,33.6,Low
1.5,2.4,3.9,3.7,131,186,15,15,61,59.2,Medium
11.2,0.8,2.3,0.7,172,89,7,48,85,84.9,Medium
8.8,5.5,2.0,1.5,84,194,11,15,92,44.7,Medium
12.7,0.5,1.5,3.7,42,36,2,24,71,2.8,Low
2.5,4.1,0.3,0.2,81,204,16,36,34,8.4,Medium
12.0,8.0,1.1,0.4,130,223,17,24,17,51.5,High
3.4,6.5,1.2,0.7,91,123,10,29,23,97.0,Medium
2.9,4.9,2.4,2.4,58,251,3,35,11,69.6,Low
2.9,2.5,3.7,0.6,154,133,15,13,13,8.0,Medium
12.3,5.0,2.4,3.9,20,85,16,59,87,19.7,Medium
10.1,4.2,0.3,1.8,32,205,8,44,58,77.4,Medium
8.1,3.4,4.8,2.0,167,53,5,30,90,84.3,Medium
5.7,1.0,4.7,1.0,192,195,19,20,86,62.2,High
13.2,7.1,3.9,1.9,177,255,1,39,65,64.8,High
6.2,3.6,5.0,2.6,50,93,8,46,91,3.8,Medium
12.3,1.6,2.7,3.0,76,216,5,50,6,83.0,Medium
6.9,2.9,4.8,3.0,187,160,2,21,54,79.0,Medium
6.0,3.3,0.4,2.3,89,165,19,12,79,26.6,Medium
7.2,6.6,1.8,3.6,30,25,5,53,35,71.2,Low
4.9,5.9,1.1,3.3,89,174,6,32,37,22.3,Medium
11.3,6.2,1.0,3.0,157,154,0,20,82,5.0,Medium
7.8,0.1,0.7,0.2,69,46,0,58,84,20.9,Low
3.9,3.3,3.1,0.0,138,54,4,26,15,18.7,Medium
13.5,3.9,3.9,0.8,155,215,5,46,37,34.4,High
6.1,0.2,2.9,2.7,119,71,12,16,11,42.4,Medium
8.4,2.1,0.7,1.6,68,28,1,52,35,51.3,Low
13.6,6.1,4.1,1.6,91,16,14,33,52,48.2,High
9.6,1.1,3.2,3.5,175,258,14,52,51,27.8,Medium
2.2,4.3,1.9,3.6,111,126,12,34,82,3.9,Low
14.1,1.7,3.4,3.6,155,77,13,18,96,60.9,High
9.6,0.1,1.3,1.3,100,43,6,34,57,40.2,Medium
5.4,1.9,1.7,2.8,162,203,13,55,84,30.6,Medium
2.5,7.8,4.6,1.1,81,64,9,36,23,86.8,Medium
12.0,6.4,1.5,0.8,150,275,16,38,85,74.9,High
9.5,7.7,2.3,0.7,91,51,13,52,94,85.9,Medium
8.2,3.9,4.5,1.4,153,240,7,17,10,50.0,High
13.5,0.9,3.5,1.7,61,19,3,45,53,14.0,Medium
11.9,4.4,0.3,3.3,107,137,15,20,77,69.9,Medium
2.7,3.6,0.7,0.5,155,188,12,60,54,21.4,Medium
5.0,6.8,0.0,2.9,95,202,19,44,85,44.7,Medium
4.1,0.8,3.2,2.1,49,101,17,62,99,7.4,Low
11.3,3.9,2.2,1.2,176,240,13,17,16,82.7,High
1.0,1.2,0.7,2.0,92,87,17,48,27,13.5,Low
8.8,2.6,4.8,1.2,119,94,4,42,58,90.4,Medium
11.6,5.9,2.6,2.4,51,39,8,45,73,86.6,Medium
13.2,3.8,1.2,1.7,172,222,2,52,63,47.0,Medium
5.5,3.0,2.5,0.7,183,58,7,40,40,74.7,Medium
12.4,3.2,3.4,0.5,174,274,19,25,7,62.3,High
2.1,3.7,0.4,2.2,139,154,9,47,62,80.5,Low
12.8,6.3,1.4,3.6,54,78,18,47,92,43.7,Medium
2.3,7.1,4.0,1.4,180,67,2,64,59,78.8,Low
6.3,7.6,2.3,2.9,88,194,10,26,61,46.8,Medium
12.1,6.3,2.7,2.6,95,71,10,19,21,94.2,High
2.7,2.5,2.2,3.7,138,175,16,37,43,49.2,Medium
3.8,5.5,0.2,3.3,95,180,15,47,94,46.8,Medium
11.0,3.5,0.8,2.3,141,72,6,59,72,78.7,Medium
10.9,2.0,2.2,2.6,113,156,3,32,59,82.3,Medium
9.8,6.7,1.0,3.6,61,170,18,39,49,55.9,Medium
10.6,0.3,0.2,1.6,35,150,11,15,80,18.8,Medium
8.4,7.2,4.2,1.3,25,106,14,27,5,47.3,Medium
4.2,3.7,4.9,0.0,94,230,10,33,25,96.8,Medium
5.5,5.1,4.0,3.3,44,52,4,23,87,75.5,Low
3.1,5.3,4.3,3.2,116,117,4,27,25,81.3,Medium
13.7,7.2,1.2,0.4,49,275,14,62,56,4.2,High
9.0,5.1,4.8,2.3,81,104,17,51,86,47.3,Medium
6.3,4.9,1.0,1.9,181,271,10,49,47,65.0,Medium
7.2,0.5,4.8,0.5,91,80,11,53,56,83.2,Medium
14.2,4.1,5.0,3.9,152,228,1,48,71,5.9,Medium
2.7,1.2,3.6,0.9,105,30,19,40,48,85.4,Medium
9.0,5.9,4.9,0.3,121,101,14,29,36,55.3,High
7.8,4.1,2.8,2.4,96,136,19,21,14,20.5,Medium
9.4,5.4,1.3,3.0,149,89,3,53,68,32.4,Medium
0.8,0.3,2.2,0.1,32,247,17,50,83,28.9,Low
13.1,0.7,3.0,2.6,173,191,5,29,73,53.6,Medium
14.0,5.7,0.4,2.1,198,34,18,12,72,6.1,High
8.7,0.6,3.1,0.4,29,165,10,50,32,16.7,Medium
10.6,0.6,4.9,0.7,62,14,1,32,57,81.5,Medium
13.9,0.1,1.0,2.3,45,129,7,12,55,14.1,Medium
10.8,7.7,4.0,1.2,138,286,10,26,57,24.1,High
2.7,5.9,4.5,3.8,79,27,4,15,8,45.9,Low
8.9,2.8,4.7,3.3,42,207,17,31,83,52.2,Medium
9.3,2.4,4.8,3.9,138,66,17,21,21,76.6,Medium
6.6,2.8,2.6,1.0,177,102,13,34,71,45.3,Medium
11.2,6.2,4.9,3.9,79,28,9,52,78,79.2,Medium
14.0,5.3,3.8,1.7,146,202,2,45,51,62.2,High
13.9,1.5,0.8,1.4,70,246,8,57,60,12.2,Medium
7.0,1.4,2.4,0.2,172,286,2,59,27,16.5,Medium
2.1,0.8,3.6,0.2,7,236,10,44,22,44.3,Low
14.8,5.3,1.2,2.8,121,242,11,45,5,40.3,High
12.7,6.1,3.2,1.8,103,49,11,50,39,74.6,Medium
2.3,2.1,3.3,0.9,156,162,2,21,68,58.5,Medium
13.9,0.2,0.8,2.5,23,136,6,31,62,39.4,Medium
13.1,0.7,2.8,1.0,150,246,13,12,99,17.9,High
8.0,7.7,3.9,2.3,196,64,10,24,63,23.5,High
9.1,2.4,2.5,1.4,120,181,6,12,5,58.0,Medium
6.3,6.2,0.1,3.3,129,118,9,16,7,42.9,Medium
1.3,5.0,0.0,3.3,92,193,10,27,71,52.0,Low
5.4,3.1,1.8,1.9,39,207,14,26,41,17.9,Medium
12.1,1.6,4.6,1.4,194,96,18,60,87,66.6,High
0.6,1.0,1.1,1.5,5,210,15,39,33,85.4,Low
5.3,4.9,3.2,3.2,157,284,19,42,93,26.5,Medium
6.3,6.2,1.1,1.3,177,220,11,34,37,49.7,Medium
8.3,5.2,1.6,0.8,181,127,17,59,65,97.6,Medium
13.8,4.2,4.2,0.3,130,200,12,56,97,34.0,High
